Label,Text
 junk,Slicednvoices
 junk,Invoice
 junk,Uncoceede
 junk,IN-3337
 junk,From:
 junk,deNO
 junk,Siced Invcice3
 junk,Numcer
 junk,12345
 junk,Sume 54-1204
 junk,In Oce Diie
 junk,Jenjan'
 junk,2016
 junk,Jomernere Sieei
 junk,Jeljac 31
 junk,2016
 junk,Your Cty =
 junk,12345
 junk,admine elicedinvoces Com
 junk,Test 31s10e35
 junk,Someinere
 junk,Melbouine
 junk,VIC JCCO
 junk,testonteaLcon
 junk,Hrg/Oty
 junk,Seruice
 junk,Rele'Price
 junk,Bdlle
 junk,Sub Totel
 junk,Web Desigi
 junk,JEScTOMcn_
 junk,15bislWm
 junk,Lieom
 junk,59350
 junk,ANZ Bank
 junk,1234 1234
 junk,Pavment
 junk,day: Ifom date
 junk,invoice
 junk,Lale C9 meni
 junk,3UDIEcL
 junk,lees pl 58 =
 junk,Monbn
 junk,Tnanks
 junk,cnoosing DEMO
 junk,Siced nvoices
 junk,eJnini glicedinvciceg.come
 junk,Page 1n1
 junk,Pex
 due_date,Due Dele
 due_date,due Funin
 total,Total Due
 tax,593.50
 tax,{5.00
 tax,0.00?p
 tax,585.00
